"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"136",3,3,0,16,15,1,11,10,1,10,8,2,8,8,0,17,17,0,17,16,1,3,3,0,8,8,0,3,3,0,5,5,0,0,0,0,3,3,0,41,39,2,7,7,0
"137",2,2,0,4,4,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,10,10,0,11,11,0
"138",10,10,0,5,5,0,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,10,10,0,10,10,0,10,10,0,10,10,0,0,0,0,10,10,0,21,21,0,20,20,0
"139",0,0,0,3,3,0,3,3,0,0,0,0,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,2,0
"140",18,18,0,26,25,1,31,29,2,2,2,0,19,19,0,18,18,0,27,26,1,18,18,0,18,18,0,18,18,0,18,18,0,0,0,0,18,18,0,30,29,1,29,29,0
"141",0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"143",12,12,0,7,6,1,4,3,1,1,0,1,0,0,0,2,2,0,2,2,0,12,12,0,12,12,0,12,12,0,6,6,0,0,0,0,12,12,0,3,3,0,16,16,0
"144",0,0,0,4,4,0,4,4,0,3,3,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,23,4,21,19,2
"145",29,27,2,16,15,1,17,16,1,1,1,0,5,5,0,2,2,0,0,0,0,14,14,0,14,14,0,14,14,0,28,27,1,0,0,0,14,14,0,33,31,2,20,19,1
"146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"147",10,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,10,0,10,10,0,10,10,0,9,9,0,0,0,0,10,10,0,11,10,1,20,18,2
"148",0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,8,0
"149",39,37,2,16,14,2,17,15,2,11,10,1,40,38,2,44,42,2,25,23,2,36,34,2,36,34,2,30,28,2,31,29,2,0,0,0,30,28,2,45,43,2,53,50,3
"150",3,3,0,2,2,0,2,2,0,2,2,0,4,3,1,3,2,1,0,0,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,3,3,0,26,26,0,4,4,0
