"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"264",0,0,0,6,6,0,6,6,0,0,0,0,1,1,0,4,4,0,7,7,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,35,33,2,21,19,2
"265",4,4,0,0,0,0,0,0,0,0,0,0,43,43,0,42,42,0,35,35,0,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,49,47,2,33,33,0
"266",0,0,0,3,3,0,6,5,1,3,3,0,0,0,0,2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,12,360,18,16,2,12,11,1
"267",14,14,0,7,7,0,7,7,0,0,0,0,19,18,1,20,20,0,27,26,1,10,10,0,4,4,0,4,4,0,14,14,0,20,19,1,4,4,0,50,47,3,32,32,0
"268",17,17,0,11,11,0,15,13,2,7,6,1,38,37,1,36,36,0,31,31,0,14,14,0,9,9,0,9,9,0,15,15,0,0,0,0,9,9,0,44,39,5,39,37,2
"269",8,8,0,17,17,0,21,20,1,20,20,0,7,7,0,9,9,0,34,33,1,5,5,0,0,0,0,0,0,0,8,8,0,22,22,0,0,0,0,53,48,5,31,31,0
"270",30,30,0,29,29,0,23,23,0,19,19,0,56,54,2,59,57,2,47,46,1,28,28,0,15,15,0,15,15,0,24,24,0,26,26,0,55,15,40,66,64,2,45,45,0
"271",16,16,0,6,6,0,5,5,0,5,5,0,25,25,0,28,28,0,35,35,0,16,16,0,12,12,0,12,12,0,17,17,0,0,0,0,12,12,0,39,38,1,47,44,3
"272",21,21,0,34,32,2,38,35,3,7,6,1,45,44,1,48,48,0,56,56,0,20,20,0,4,4,0,4,4,0,23,23,0,44,43,1,4,4,0,70,67,3,64,63,1
"273",6,6,0,0,0,0,0,0,0,0,0,0,23,23,0,26,25,1,27,26,1,8,8,0,7,7,0,7,7,0,8,8,0,0,0,0,7,7,0,41,35,6,30,29,1
