"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"410",36,35,1,45,44,1,45,44,1,13,13,0,56,54,2,56,54,2,50,49,1,36,35,1,36,35,1,36,35,1,39,38,1,48,47,1,36,35,1,59,56,3
"411",43,43,0,53,49,4,50,47,3,34,30,4,63,63,0,62,62,0,55,55,0,43,43,0,43,43,0,43,43,0,42,42,0,37,37,0,43,43,0,77,73,4
"412",51,48,3,60,58,2,61,59,2,0,0,0,68,67,1,67,66,1,57,57,0,50,48,2,50,48,2,50,48,2,51,48,3,55,54,1,50,48,2,77,76,1
"413",53,51,2,52,51,1,53,52,1,53,52,1,76,75,1,74,73,1,63,63,0,52,50,2,52,50,2,52,50,2,53,52,1,56,52,4,52,50,2,83,80,3
"414",36,35,1,45,43,2,52,48,4,63,61,2,70,69,1,70,69,1,65,64,1,36,35,1,37,35,2,37,35,2,36,34,2,49,48,1,37,35,2,93,87,6
"415",28,28,0,37,37,0,38,38,0,0,0,0,56,50,6,56,50,6,41,38,3,28,28,0,28,28,0,28,28,0,30,30,0,33,33,0,28,28,0,66,61,5
"416",48,44,4,43,41,2,33,33,0,14,14,0,45,43,2,47,44,3,40,38,2,48,44,4,48,44,4,48,44,4,46,43,3,0,0,0,49,44,5,61,53,8
"417",29,29,0,35,35,0,38,38,0,32,32,0,48,48,0,47,47,0,45,45,0,28,28,0,28,28,0,28,28,0,29,29,0,52,49,3,28,28,0,57,54,3
"418",36,35,1,47,47,0,45,45,0,0,0,0,56,56,0,53,53,0,46,46,0,36,35,1,36,35,1,36,35,1,36,35,1,25,25,0,36,35,1,69,67,2
"419",53,51,2,68,68,0,74,72,2,62,61,1,74,73,1,75,74,1,71,71,0,52,50,2,52,50,2,52,50,2,51,49,2,63,60,3,52,50,2,90,82,8
"420",39,38,1,53,51,2,49,46,3,15,14,1,66,65,1,64,64,0,51,51,0,38,37,1,38,37,1,38,37,1,48,47,1,63,59,4,38,37,1,76,74,2
"421",47,47,0,62,61,1,63,62,1,1,1,0,62,56,6,56,51,5,36,34,2,47,47,0,47,47,0,47,47,0,46,46,0,23,23,0,47,47,0,62,57,5
"422",48,47,1,52,51,1,57,55,2,0,0,0,68,68,0,69,69,0,66,66,0,48,47,1,48,47,1,48,47,1,47,46,1,44,44,0,48,47,1,95,87,8
"423",39,39,0,40,37,3,40,36,4,22,21,1,68,67,1,67,66,1,58,57,1,38,38,0,38,38,0,38,38,0,38,38,0,28,27,1,38,38,0,72,70,2
"424",45,45,0,35,34,1,37,35,2,30,30,0,58,55,3,57,54,3,36,35,1,45,45,0,45,45,0,45,45,0,44,44,0,25,24,1,45,45,0,64,58,6
"425",55,54,1,81,77,4,82,79,3,66,64,2,83,80,3,82,80,2,71,69,2,54,53,1,54,53,1,54,53,1,64,63,1,75,72,3,54,53,1,77,75,2
"426",41,40,1,56,50,6,56,50,6,56,50,6,56,53,3,56,54,2,32,31,1,41,39,2,42,40,2,41,39,2,41,40,1,45,43,2,41,39,2,63,59,4
"427",45,45,0,53,51,2,50,47,3,1,1,0,41,40,1,41,39,2,7,6,1,43,43,0,43,43,0,43,43,0,45,45,0,31,31,0,45,45,0,55,48,7
"428",45,44,1,43,42,1,40,39,1,33,32,1,75,71,4,74,70,4,62,59,3,46,45,1,46,45,1,46,45,1,44,43,1,29,29,0,46,45,1,74,69,5
"429",33,31,2,58,55,3,67,64,3,1,1,0,72,70,2,69,67,2,66,65,1,33,31,2,33,31,2,33,31,2,32,31,1,54,52,2,33,31,2,87,84,3
"430",45,45,0,45,43,2,41,39,2,13,12,1,76,70,6,74,68,6,57,52,5,46,45,1,46,45,1,46,45,1,46,45,1,27,27,0,47,46,1,87,75,12
"431",49,48,1,52,51,1,50,49,1,0,0,0,67,67,0,65,65,0,53,53,0,49,48,1,49,48,1,49,48,1,49,48,1,47,45,2,49,48,1,80,73,7
"432",47,44,3,54,54,0,60,60,0,60,60,0,71,71,0,69,69,0,60,60,0,46,43,3,46,43,3,46,43,3,47,45,2,62,59,3,46,43,3,82,80,2
"433",34,34,0,32,30,2,29,27,2,0,0,0,62,59,3,58,56,2,45,43,2,34,34,0,34,34,0,34,34,0,37,36,1,30,30,0,34,34,0,69,64,5
"434",29,29,0,46,44,2,49,46,3,32,31,1,54,51,3,55,51,4,54,51,3,33,33,0,33,33,0,33,33,0,36,36,0,46,42,4,33,33,0,71,67,4
"435",33,29,4,20,19,1,11,11,0,6,6,0,53,51,2,53,51,2,49,49,0,31,27,4,31,27,4,31,27,4,35,31,4,0,0,0,31,27,4,68,64,4
"436",43,43,0,26,25,1,21,21,0,19,19,0,71,67,4,70,67,3,64,61,3,41,41,0,42,42,0,41,41,0,43,42,1,45,45,0,41,41,0,85,78,7
"437",40,40,0,48,47,1,51,49,2,0,0,0,61,59,2,59,58,1,49,49,0,41,40,1,41,40,1,41,40,1,41,40,1,63,57,6,41,40,1,66,65,1
"438",55,55,0,66,64,2,63,61,2,0,0,0,64,63,1,69,64,5,65,60,5,55,55,0,55,55,0,55,55,0,54,53,1,47,47,0,55,55,0,81,71,10
"439",49,46,3,69,67,2,74,69,5,69,64,5,71,71,0,72,72,0,69,69,0,49,46,3,49,46,3,49,46,3,47,45,2,65,59,6,49,46,3,90,88,2
"440",52,51,1,50,49,1,50,47,3,15,15,0,51,50,1,51,50,1,28,28,0,53,51,2,53,51,2,53,51,2,49,48,1,55,53,2,53,51,2,77,68,9
"441",51,49,2,63,60,3,64,61,3,38,36,2,77,74,3,76,73,3,49,47,2,51,49,2,51,49,2,51,49,2,51,50,1,52,45,7,51,49,2,72,70,2
"442",26,25,1,38,38,0,36,36,0,0,0,0,62,60,2,62,60,2,57,55,2,26,25,1,26,25,1,26,25,1,27,26,1,0,0,0,26,25,1,68,63,5
"443",57,56,1,76,74,2,81,78,3,82,82,0,82,81,1,82,81,1,71,71,0,56,56,0,56,56,0,56,56,0,58,57,1,73,67,6,56,56,0,99,96,3
"444",41,41,0,49,47,2,52,50,2,45,43,2,69,68,1,71,70,1,63,63,0,40,40,0,40,40,0,40,40,0,40,40,0,53,51,2,40,40,0,91,86,5
"445",47,47,0,29,27,2,23,21,2,8,7,1,60,60,0,60,60,0,30,30,0,47,47,0,47,47,0,47,47,0,46,46,0,0,0,0,47,47,0,66,64,2
"446",43,41,2,31,29,2,21,20,1,14,14,0,52,51,1,53,52,1,48,47,1,43,41,2,43,41,2,43,41,2,44,42,2,0,0,0,43,41,2,67,63,4
"447",62,60,2,80,73,7,85,78,7,0,0,0,83,80,3,82,80,2,76,74,2,61,59,2,61,59,2,61,59,2,74,69,5,87,79,8,62,60,2,91,87,4
"448",47,47,0,49,45,4,42,39,3,0,0,0,65,57,8,57,52,5,0,0,0,47,47,0,47,47,0,47,47,0,47,47,0,20,20,0,48,48,0,62,56,6
"449",48,47,1,50,49,1,53,51,2,0,0,0,64,63,1,65,64,1,56,55,1,47,46,1,47,46,1,47,46,1,48,47,1,38,35,3,48,47,1,75,73,2
"450",41,40,1,36,36,0,34,33,1,0,0,0,69,67,2,69,67,2,63,61,2,40,39,1,40,39,1,40,39,1,40,39,1,45,45,0,40,39,1,79,74,5
"451",38,38,0,43,41,2,39,38,1,39,38,1,56,56,0,56,56,0,46,46,0,38,38,0,38,38,0,38,38,0,37,37,0,34,34,0,39,39,0,75,71,4
"452",42,41,1,63,59,4,64,62,2,1,1,0,69,69,0,66,66,0,59,59,0,42,40,2,42,40,2,42,40,2,44,42,2,57,56,1,42,40,2,86,81,5
"453",47,46,1,21,21,0,22,22,0,13,13,0,62,60,2,61,59,2,30,28,2,47,46,1,47,46,1,47,46,1,47,46,1,23,19,4,49,46,3,72,67,5
"454",41,41,0,44,44,0,43,43,0,23,23,0,52,49,3,50,47,3,31,29,2,40,40,0,40,40,0,40,40,0,45,45,0,27,27,0,40,40,0,77,64,13
"455",38,37,1,35,34,1,29,28,1,28,28,0,65,65,0,67,67,0,63,63,0,39,37,2,39,37,2,39,37,2,40,39,1,28,27,1,40,38,2,83,81,2
"456",42,40,2,51,45,6,49,44,5,35,33,2,49,45,4,50,46,4,36,33,3,39,38,1,39,38,1,39,38,1,41,39,2,41,39,2,41,39,2,52,49,3
"457",35,33,2,57,56,1,56,54,2,0,0,0,65,64,1,65,64,1,61,60,1,33,31,2,33,31,2,33,31,2,51,47,4,61,57,4,35,33,2,69,66,3
"458",41,40,1,59,56,3,59,57,2,57,56,1,66,63,3,66,63,3,66,63,3,41,40,1,41,40,1,41,40,1,44,43,1,55,51,4,41,40,1,77,74,3
"459",49,48,1,63,62,1,64,62,2,31,31,0,77,74,3,76,73,3,70,68,2,44,43,1,44,43,1,44,43,1,48,47,1,66,64,2,44,43,1,84,80,4
"460",48,48,0,60,59,1,60,60,0,55,55,0,72,72,0,72,72,0,70,70,0,47,46,1,47,46,1,47,46,1,52,52,0,49,49,0,48,47,1,84,82,2
"461",28,27,1,26,25,1,18,18,0,4,4,0,49,48,1,49,48,1,48,47,1,28,27,1,28,27,1,28,27,1,31,30,1,26,26,0,28,27,1,67,63,4
"462",35,35,0,22,22,0,16,16,0,0,0,0,57,57,0,57,57,0,52,52,0,35,35,0,35,35,0,35,35,0,32,32,0,46,44,2,35,35,0,57,57,0
"463",53,50,3,56,52,4,53,51,2,5,5,0,58,55,3,57,54,3,55,52,3,53,50,3,53,50,3,53,50,3,52,50,2,49,46,3,53,50,3,65,64,1
"464",25,25,0,39,38,1,37,36,1,25,24,1,41,41,0,41,41,0,40,40,0,24,24,0,24,24,0,24,24,0,23,23,0,31,31,0,24,24,0,70,62,8
"465",39,39,0,20,20,0,16,16,0,14,14,0,63,60,3,64,61,3,62,59,3,39,39,0,39,39,0,39,39,0,39,39,0,22,22,0,39,39,0,72,69,3
"466",28,28,0,0,0,0,0,0,0,0,0,0,61,61,0,65,65,0,60,60,0,27,27,0,27,27,0,27,27,0,27,27,0,0,0,0,28,28,0,85,74,11
"467",34,33,1,52,51,1,54,51,3,0,0,0,56,54,2,56,54,2,57,55,2,39,38,1,39,38,1,39,38,1,39,39,0,65,62,3,39,38,1,68,65,3
"468",40,38,2,28,28,0,33,31,2,30,30,0,54,53,1,54,53,1,49,48,1,38,37,1,38,37,1,38,37,1,42,38,4,32,31,1,38,37,1,72,69,3
"469",21,21,0,44,42,2,46,45,1,47,46,1,49,48,1,49,48,1,48,47,1,21,21,0,21,21,0,21,21,0,25,24,1,40,38,2,21,21,0,72,65,7
