"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"376",24,24,0,17,17,0,9,9,0,0,0,0,49,48,1,48,48,0,49,49,0,30,29,1,25,25,0,25,25,0,27,26,1,46,41,5,25,25,0,71,69,2
"377",23,22,1,9,8,1,3,2,1,0,0,0,40,39,1,43,42,1,40,40,0,20,19,1,21,20,1,21,20,1,20,19,1,20,20,0,27,20,7,51,51,0
"378",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,46,6
"379",9,9,0,10,10,0,10,10,0,0,0,0,12,12,0,12,12,0,0,0,0,9,9,0,8,8,0,8,8,0,9,9,0,0,0,0,9,9,0,12,12,0
"380",28,28,0,30,30,0,34,34,0,34,34,0,38,37,1,38,37,1,33,32,1,25,25,0,23,23,0,23,23,0,28,28,0,34,33,1,118,23,95,39,39,0
"381",39,39,0,36,36,0,35,35,0,28,28,0,44,42,2,45,43,2,43,41,2,38,38,0,37,37,0,37,37,0,41,41,0,30,30,0,49,37,12,64,59,5
"382",27,26,1,22,21,1,14,14,0,0,0,0,41,38,3,42,39,3,31,29,2,29,28,1,23,23,0,23,23,0,29,28,1,0,0,0,24,24,0,53,52,1
"383",9,9,0,45,43,2,35,33,2,0,0,0,58,57,1,59,58,1,58,57,1,9,9,0,11,11,0,11,11,0,16,15,1,47,46,1,11,11,0,57,57,0
"384",40,38,2,36,34,2,23,21,2,0,0,0,51,51,0,50,50,0,49,49,0,37,37,0,36,36,0,36,36,0,39,38,1,47,43,4,36,36,0,76,70,6
"385",45,45,0,61,57,4,63,60,3,34,31,3,70,70,0,70,70,0,63,63,0,40,40,0,38,38,0,38,38,0,50,50,0,60,60,0,38,38,0,92,89,3
