"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"134",17,16,1,18,17,1,18,17,1,0,0,0,27,26,1,29,27,2,31,29,2,15,14,1,8,8,0,8,8,0,15,14,1,0,0,0,8,8,0,55,52,3
"135",0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,3
"136",0,0,0,6,6,0,13,13,0,0,0,0,25,24,1,25,24,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,1,0,0,0,47,46,1
"137",25,25,0,1,1,0,0,0,0,0,0,0,38,38,0,41,41,0,46,45,1,25,24,1,16,16,0,16,16,0,25,25,0,0,0,0,16,16,0,66,62,4
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",16,16,0,16,16,0,10,10,0,6,6,0,17,17,0,21,21,0,21,21,0,11,11,0,9,9,0,9,9,0,12,12,0,0,0,0,9,9,0,50,46,4
"140",6,6,0,2,2,0,0,0,0,0,0,0,23,22,1,21,20,1,15,14,1,6,6,0,4,4,0,4,4,0,4,4,0,0,0,0,4,4,0,38,36,2
"141",2,2,0,0,0,0,0,0,0,0,0,0,23,21,2,24,22,2,24,22,2,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,41,40,1
"142",9,8,1,17,16,1,19,19,0,20,20,0,20,19,1,20,20,0,25,24,1,8,8,0,6,6,0,6,6,0,7,7,0,0,0,0,6,6,0,54,46,8
"143",13,12,1,9,9,0,6,6,0,0,0,0,35,35,0,36,36,0,32,32,0,12,12,0,12,12,0,12,12,0,9,9,0,0,0,0,12,12,0,62,62,0
"144",6,6,0,9,8,1,10,10,0,8,6,2,8,8,0,10,10,0,11,11,0,0,0,0,0,0,0,0,0,0,6,6,0,22,20,2,0,0,0,30,27,3
"145",19,19,0,40,38,2,45,43,2,52,51,1,52,51,1,49,48,1,49,49,0,21,21,0,18,18,0,18,18,0,21,21,0,50,46,4,19,19,0,76,71,5
"146",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,11,8
