"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"300",5,5,0,0,0,0,0,0,0
"301",0,0,0,0,0,0,1,1,0
"302",0,0,0,0,0,0,0,0,0
"303",4,4,0,0,0,0,0,0,0
"304",0,0,0,0,0,0,0,0,0
"305",4,4,0,0,0,0,2,2,0
"306",0,0,0,0,0,0,1,1,0
"307",0,0,0,0,0,0,1,1,0
"308",0,0,0,0,0,0,3,3,0
"309",1,1,0,0,0,0,0,0,0
"310",0,0,0,0,0,0,1,1,0
"311",3,2,1,0,0,0,0,0,0
"312",0,0,0,0,0,0,0,0,0
"313",5,5,0,1,1,0,0,0,0
"314",1,1,0,0,0,0,20,20,0
"315",8,8,0,0,0,0,10,10,0
"316",7,7,0,0,0,0,2,1,1
"317",2,2,0,0,0,0,2,2,0
"318",1,1,0,0,0,0,0,0,0
"319",4,4,0,1,1,0,3,3,0
"320",207,133,74,0,0,0,10,10,0
"321",3,3,0,0,0,0,13,12,1
"322",2,2,0,0,0,0,0,0,0
"323",0,0,0,0,0,0,0,0,0
"324",0,0,0,0,0,0,0,0,0
"325",0,0,0,0,0,0,0,0,0
"326",3,3,0,0,0,0,4,4,0
"327",0,0,0,0,0,0,0,0,0
"328",0,0,0,0,0,0,0,0,0
"329",0,0,0,0,0,0,1,1,0
"330",0,0,0,0,0,0,1,1,0
"331",0,0,0,0,0,0,2,2,0
"332",1,1,0,0,0,0,0,0,0
"333",0,0,0,0,0,0,0,0,0
"334",0,0,0,0,0,0,0,0,0
"335",3,3,0,0,0,0,0,0,0
"336",0,0,0,0,0,0,1,1,0
"337",0,0,0,0,0,0,0,0,0
"338",0,0,0,1,1,0,1,1,0
"339",0,0,0,0,0,0,0,0,0
"340",0,0,0,0,0,0,0,0,0
"341",0,0,0,0,0,0,22,22,0
"342",0,0,0,0,0,0,2,2,0
"343",0,0,0,0,0,0,3,3,0
"344",0,0,0,0,0,0,0,0,0
"345",0,0,0,0,0,0,0,0,0
"346",1,1,0,0,0,0,3,3,0
"347",0,0,0,0,0,0,3,3,0
"348",0,0,0,0,0,0,4,4,0
"349",1,1,0,0,0,0,0,0,0
"350",0,0,0,0,0,0,0,0,0
"351",2,2,0,0,0,0,1,1,0
"352",0,0,0,0,0,0,1,1,0
"353",2,2,0,0,0,0,1,1,0
"354",0,0,0,0,0,0,0,0,0
"355",0,0,0,0,0,0,0,0,0
"356",1,1,0,0,0,0,0,0,0
"357",0,0,0,0,0,0,2,2,0
"358",0,0,0,0,0,0,1,1,0
"359",0,0,0,0,0,0,1,1,0
"360",0,0,0,0,0,0,7,6,1
"361",0,0,0,0,0,0,0,0,0
"362",1,1,0,0,0,0,0,0,0
"363",0,0,0,0,0,0,1,1,0
"364",0,0,0,0,0,0,6,6,0
"365",2,2,0,1,1,0,0,0,0
"366",0,0,0,0,0,0,1,1,0
"367",2,2,0,0,0,0,1,1,0
"368",7,7,0,0,0,0,13,12,1
"369",0,0,0,0,0,0,4,4,0
"370",3,3,0,4,4,0,10,10,0
"371",36,35,1,0,0,0,0,0,0
"372",0,0,0,0,0,0,6,6,0
"373",2,2,0,0,0,0,16,15,1
"374",1,1,0,0,0,0,0,0,0
"375",1,1,0,0,0,0,0,0,0
"376",10,10,0,0,0,0,0,0,0
"377",0,0,0,0,0,0,0,0,0
"378",0,0,0,0,0,0,0,0,0
"379",0,0,0,0,0,0,0,0,0
"380",4,4,0,0,0,0,0,0,0
"381",3,3,0,0,0,0,9,8,1
"382",10,10,0,0,0,0,0,0,0
"383",0,0,0,0,0,0,3,2,1
"384",0,0,0,0,0,0,0,0,0
"385",1,1,0,0,0,0,0,0,0
"386",1,1,0,0,0,0,3,3,0
"387",1,1,0,0,0,0,0,0,0
"388",1,1,0,0,0,0,0,0,0
"389",10,9,1,0,0,0,0,0,0
"390",0,0,0,0,0,0,0,0,0
"391",0,0,0,0,0,0,0,0,0
"392",1,1,0,0,0,0,1,1,0
"393",0,0,0,0,0,0,0,0,0
"394",0,0,0,0,0,0,0,0,0
"395",0,0,0,1,1,0,1,1,0
"396",0,0,0,0,0,0,4,3,1
"397",4,4,0,0,0,0,1,1,0
"398",0,0,0,0,0,0,1,1,0
"399",0,0,0,0,0,0,2,2,0
"400",0,0,0,0,0,0,0,0,0
