"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"66",0,0,0,0,0,0,0,0,0
"67",0,0,0,0,0,0,2,2,0
"68",0,0,0,0,0,0,17,17,0
"69",0,0,0,0,0,0,15,15,0
"70",0,0,0,0,0,0,1,1,0
"71",0,0,0,0,0,0,35,35,0
"72",0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,10,9,1
"74",0,0,0,0,0,0,9,9,0
"75",0,0,0,0,0,0,16,15,1
"76",1,1,0,14,14,0,24,23,1
"77",0,0,0,7,7,0,16,16,0
"78",0,0,0,0,0,0,36,36,0
"79",0,0,0,0,0,0,0,0,0
"80",3,3,0,2,2,0,14,14,0
"81",0,0,0,0,0,0,50,50,0
"82",0,0,0,0,0,0,7,7,0
"83",0,0,0,5,5,0,10,10,0
"84",1,1,0,0,0,0,18,18,0
"85",0,0,0,0,0,0,31,31,0
"86",0,0,0,0,0,0,41,40,1
"87",1,1,0,0,0,0,13,13,0
"88",1,1,0,1,0,1,14,12,2
"89",0,0,0,0,0,0,0,0,0
"90",2,2,0,0,0,0,23,21,2
"91",0,0,0,0,0,0,0,0,0
"92",9,9,0,17,17,0,44,44,0
"93",0,0,0,0,0,0,9,9,0
"94",0,0,0,0,0,0,5,5,0
"95",0,0,0,0,0,0,25,25,0
"96",0,0,0,0,0,0,51,51,0
"97",0,0,0,0,0,0,36,35,1
"98",0,0,0,0,0,0,38,35,3
"99",0,0,0,1,1,0,0,0,0
"100",0,0,0,1,0,1,21,20,1
"101",0,0,0,0,0,0,14,14,0
"102",0,0,0,0,0,0,10,10,0
"103",0,0,0,0,0,0,0,0,0
"104",0,0,0,0,0,0,0,0,0
"105",2,2,0,0,0,0,28,28,0
"106",0,0,0,0,0,0,19,19,0
"107",0,0,0,0,0,0,5,5,0
"108",0,0,0,0,0,0,13,13,0
"109",0,0,0,0,0,0,23,23,0
"110",3,3,0,0,0,0,56,56,0
"111",0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,7,6,1
"113",0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,22,22,0
"115",0,0,0,0,0,0,12,12,0
"116",0,0,0,0,0,0,13,13,0
"117",0,0,0,0,0,0,0,0,0
"118",1,1,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,45,45,0
"120",0,0,0,0,0,0,0,0,0
"121",0,0,0,0,0,0,0,0,0
"122",0,0,0,23,23,0,9,8,1
"123",0,0,0,0,0,0,15,15,0
"124",0,0,0,0,0,0,25,23,2
"125",0,0,0,0,0,0,28,28,0
"126",0,0,0,0,0,0,10,10,0
"127",0,0,0,0,0,0,50,49,1
"128",0,0,0,0,0,0,24,23,1
"129",0,0,0,0,0,0,7,7,0
"130",0,0,0,0,0,0,9,9,0
"131",0,0,0,0,0,0,37,37,0
"132",0,0,0,0,0,0,24,24,0
"133",0,0,0,1,0,1,7,7,0
"134",1,1,0,0,0,0,38,38,0
"135",0,0,0,1,0,1,5,5,0
"136",1,1,0,0,0,0,58,58,0
"137",0,0,0,0,0,0,53,52,1
"138",0,0,0,0,0,0,3,3,0
"139",0,0,0,0,0,0,22,21,1
"140",0,0,0,0,0,0,3,3,0
"141",0,0,0,0,0,0,48,47,1
"142",0,0,0,0,0,0,7,7,0
"143",1,1,0,14,14,0,30,30,0
"144",0,0,0,0,0,0,8,8,0
"145",0,0,0,0,0,0,0,0,0
"146",0,0,0,0,0,0,1,1,0
"147",0,0,0,0,0,0,0,0,0
"148",0,0,0,0,0,0,11,11,0
"149",0,0,0,0,0,0,2,2,0
"150",0,0,0,0,0,0,40,40,0
"151",0,0,0,0,0,0,36,35,1
"152",0,0,0,0,0,0,31,31,0
"153",0,0,0,1,0,1,14,14,0
"154",1,1,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,57,57,0
"156",1,1,0,0,0,0,34,33,1
"157",0,0,0,0,0,0,50,48,2
"158",0,0,0,21,21,0,34,31,3
"159",0,0,0,0,0,0,0,0,0
"160",0,0,0,0,0,0,4,4,0
"161",0,0,0,0,0,0,13,12,1
"162",0,0,0,3,3,0,19,19,0
"163",0,0,0,0,0,0,4,3,1
"164",0,0,0,9,8,1,21,21,0
"165",1,1,0,0,0,0,0,0,0
"166",0,0,0,0,0,0,8,8,0
"167",0,0,0,0,0,0,0,0,0
"168",0,0,0,0,0,0,11,11,0
"169",0,0,0,0,0,0,33,33,0
"170",0,0,0,0,0,0,11,11,0
"171",0,0,0,0,0,0,1,1,0
"172",0,0,0,0,0,0,7,7,0
"173",0,0,0,0,0,0,32,32,0
"174",0,0,0,0,0,0,0,0,0
"175",0,0,0,12,12,0,33,32,1
"176",0,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,28,26,2
"178",0,0,0,0,0,0,20,19,1
"179",2,2,0,0,0,0,36,36,0
"180",1,1,0,0,0,0,2,2,0
"181",0,0,0,11,11,0,3,3,0
"182",2,2,0,9,9,0,22,22,0
"183",1,0,1,0,0,0,7,7,0
"184",0,0,0,0,0,0,49,48,1
"185",0,0,0,26,25,1,43,43,0
"186",0,0,0,0,0,0,15,15,0
"187",0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,41,40,1
"189",3,2,1,2,2,0,48,47,1
"190",0,0,0,0,0,0,0,0,0
"191",0,0,0,0,0,0,37,36,1
"192",0,0,0,0,0,0,3,3,0
"193",0,0,0,0,0,0,10,10,0
"194",1,1,0,0,0,0,3,3,0
"195",0,0,0,0,0,0,52,52,0
"196",2,2,0,0,0,0,8,8,0
"197",0,0,0,0,0,0,49,49,0
"198",0,0,0,0,0,0,13,11,2
"199",0,0,0,0,0,0,12,12,0
"200",0,0,0,0,0,0,5,5,0
"201",0,0,0,0,0,0,0,0,0
"202",2,2,0,6,6,0,42,42,0
"203",0,0,0,0,0,0,17,16,1
"204",0,0,0,0,0,0,0,0,0
"205",0,0,0,7,7,0,11,11,0
"206",0,0,0,0,0,0,4,4,0
"207",2,2,0,0,0,0,0,0,0
"208",1,1,0,0,0,0,11,11,0
"209",0,0,0,0,0,0,0,0,0
"210",0,0,0,0,0,0,38,38,0
"211",0,0,0,0,0,0,20,20,0
"212",0,0,0,0,0,0,1,0,1
"213",0,0,0,0,0,0,3,3,0
"214",0,0,0,0,0,0,30,29,1
"215",0,0,0,0,0,0,36,35,1
"216",4,3,1,0,0,0,18,18,0
"217",0,0,0,0,0,0,30,30,0
"218",0,0,0,0,0,0,30,30,0
"219",0,0,0,0,0,0,10,10,0
"220",0,0,0,0,0,0,17,16,1
"221",0,0,0,0,0,0,43,42,1
"222",0,0,0,0,0,0,4,4,0
"223",1,1,0,0,0,0,33,33,0
"224",0,0,0,0,0,0,0,0,0
"225",0,0,0,0,0,0,3,3,0
"226",0,0,0,0,0,0,22,22,0
"227",0,0,0,0,0,0,8,8,0
"228",0,0,0,0,0,0,23,20,3
"229",1,1,0,0,0,0,3,3,0
"230",0,0,0,0,0,0,3,3,0
"231",0,0,0,0,0,0,13,13,0
"232",0,0,0,9,9,0,5,5,0
"233",0,0,0,0,0,0,0,0,0
"234",0,0,0,0,0,0,52,52,0
"235",0,0,0,0,0,0,11,10,1
"236",0,0,0,0,0,0,32,31,1
"237",0,0,0,0,0,0,4,4,0
"238",0,0,0,0,0,0,62,62,0
"239",0,0,0,0,0,0,21,20,1
"240",0,0,0,0,0,0,0,0,0
"241",0,0,0,0,0,0,23,21,2
"242",0,0,0,0,0,0,3,3,0
"243",0,0,0,0,0,0,6,6,0
"244",0,0,0,29,28,1,3,3,0
"245",0,0,0,0,0,0,0,0,0
"246",0,0,0,0,0,0,49,46,3
"247",0,0,0,0,0,0,3,3,0
"248",1,1,0,0,0,0,15,15,0
"249",0,0,0,0,0,0,1,0,1
"250",0,0,0,0,0,0,1,1,0
