"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"294",0,0,0,0,0,0,6,6,0
"295",0,0,0,0,0,0,23,23,0
"296",0,0,0,0,0,0,7,7,0
"297",0,0,0,0,0,0,12,12,0
"298",0,0,0,0,0,0,40,39,1
"299",1,1,0,0,0,0,24,23,1
"300",7,7,0,3,3,0,0,0,0
"301",9,8,1,0,0,0,4,4,0
"302",1,1,0,0,0,0,2,2,0
"303",1,1,0,0,0,0,18,18,0
"304",0,0,0,0,0,0,5,5,0
"305",7,7,0,0,0,0,50,49,1
"306",0,0,0,0,0,0,14,13,1
"307",1,1,0,0,0,0,18,18,0
"308",0,0,0,0,0,0,0,0,0
"309",0,0,0,0,0,0,0,0,0
"310",0,0,0,0,0,0,4,4,0
"311",1,0,1,0,0,0,14,14,0
"312",0,0,0,0,0,0,4,4,0
"313",0,0,0,0,0,0,1,1,0
"314",0,0,0,0,0,0,16,16,0
"315",1,1,0,0,0,0,11,11,0
"316",0,0,0,0,0,0,12,12,0
"317",0,0,0,2,2,0,59,58,1
"318",0,0,0,0,0,0,12,12,0
"319",0,0,0,0,0,0,16,16,0
"320",0,0,0,0,0,0,42,42,0
"321",0,0,0,0,0,0,91,88,3
"322",1,1,0,0,0,0,4,4,0
"323",4,4,0,0,0,0,15,15,0
"324",1,1,0,0,0,0,14,14,0
"325",6,6,0,0,0,0,0,0,0
"326",1,1,0,0,0,0,2,2,0
"327",3,3,0,0,0,0,77,75,2
"328",1,1,0,0,0,0,56,55,1
"329",0,0,0,0,0,0,2,2,0
"330",1,1,0,0,0,0,0,0,0
"331",0,0,0,0,0,0,5,5,0
"332",7,7,0,0,0,0,56,56,0
"333",0,0,0,0,0,0,0,0,0
"334",0,0,0,0,0,0,11,11,0
"335",0,0,0,0,0,0,3,3,0
"336",0,0,0,0,0,0,13,13,0
"337",0,0,0,0,0,0,16,16,0
"338",0,0,0,0,0,0,3,3,0
"339",0,0,0,0,0,0,18,18,0
"340",0,0,0,0,0,0,30,29,1
"341",0,0,0,0,0,0,16,16,0
"342",0,0,0,0,0,0,55,54,1
"343",0,0,0,0,0,0,1,1,0
"344",1,0,1,0,0,0,10,10,0
"345",0,0,0,0,0,0,24,24,0
"346",0,0,0,0,0,0,45,44,1
"347",0,0,0,0,0,0,454,260,194
"348",8,8,0,0,0,0,33,33,0
"349",0,0,0,3,3,0,0,0,0
"350",1,1,0,0,0,0,20,20,0
"351",4,4,0,0,0,0,24,24,0
"352",0,0,0,0,0,0,1,1,0
"353",6,6,0,0,0,0,0,0,0
"354",0,0,0,0,0,0,1,1,0
"355",0,0,0,0,0,0,20,20,0
"356",0,0,0,0,0,0,6,6,0
"357",19,19,0,0,0,0,7,7,0
"358",0,0,0,0,0,0,0,0,0
"359",0,0,0,0,0,0,32,30,2
"360",3,3,0,5,5,0,12,12,0
"361",0,0,0,0,0,0,1,1,0
"362",3,3,0,0,0,0,46,46,0
"363",0,0,0,0,0,0,30,30,0
"364",0,0,0,0,0,0,3,3,0
"365",0,0,0,0,0,0,0,0,0
"366",0,0,0,0,0,0,0,0,0
"367",0,0,0,0,0,0,37,37,0
"368",0,0,0,0,0,0,0,0,0
"369",0,0,0,0,0,0,13,13,0
"370",2,2,0,0,0,0,38,38,0
"371",11,11,0,6,6,0,15,14,1
"372",1,1,0,3,3,0,53,52,1
"373",3,2,1,0,0,0,47,46,1
"374",0,0,0,0,0,0,0,0,0
"375",2,1,1,0,0,0,17,17,0
"376",0,0,0,0,0,0,7,7,0
"377",0,0,0,0,0,0,0,0,0
"378",0,0,0,0,0,0,4,4,0
"379",0,0,0,0,0,0,5,5,0
"380",0,0,0,0,0,0,4,4,0
"381",6,5,1,0,0,0,2,2,0
"382",12,12,0,0,0,0,9,9,0
"383",0,0,0,0,0,0,33,33,0
"384",0,0,0,0,0,0,0,0,0
"385",0,0,0,0,0,0,1,1,0
"386",0,0,0,0,0,0,11,11,0
"387",1,1,0,0,0,0,3,3,0
"388",0,0,0,0,0,0,23,23,0
"389",1,0,1,0,0,0,2,2,0
"390",0,0,0,0,0,0,34,34,0
"391",0,0,0,0,0,0,0,0,0
"392",0,0,0,0,0,0,6,6,0
"393",0,0,0,0,0,0,11,11,0
"394",0,0,0,0,0,0,10,10,0
"395",1,1,0,0,0,0,5,5,0
"396",2,2,0,0,0,0,33,33,0
"397",4,4,0,1,1,0,0,0,0
"398",0,0,0,0,0,0,63,61,2
"399",0,0,0,0,0,0,25,25,0
"400",2,2,0,0,0,0,20,19,1
"401",6,6,0,0,0,0,3,3,0
"402",1,1,0,0,0,0,13,13,0
"403",0,0,0,0,0,0,37,36,1
"404",0,0,0,0,0,0,21,21,0
"405",0,0,0,1,1,0,17,17,0
"406",8,8,0,0,0,0,20,20,0
"407",0,0,0,0,0,0,54,54,0
"408",2,2,0,0,0,0,6,6,0
"409",0,0,0,0,0,0,35,34,1
"410",0,0,0,0,0,0,0,0,0
"411",0,0,0,0,0,0,4,4,0
"412",6,6,0,0,0,0,1,1,0
"413",0,0,0,0,0,0,0,0,0
"414",1,1,0,5,5,0,5,5,0
"415",0,0,0,0,0,0,9,9,0
"416",1,1,0,0,0,0,16,15,1
"417",0,0,0,0,0,0,2,2,0
"418",3,3,0,1,0,1,3,3,0
"419",0,0,0,0,0,0,16,14,2
"420",0,0,0,1,1,0,15,15,0
"421",2,1,1,2,0,2,11,10,1
"422",0,0,0,0,0,0,25,23,2
"423",0,0,0,0,0,0,2,2,0
"424",0,0,0,1,0,1,22,21,1
"425",0,0,0,0,0,0,40,40,0
"426",0,0,0,0,0,0,30,30,0
"427",0,0,0,0,0,0,0,0,0
"428",5,4,1,0,0,0,0,0,0
"429",1,1,0,0,0,0,21,21,0
"430",7,7,0,1,1,0,0,0,0
"431",1,1,0,0,0,0,65,63,2
"432",0,0,0,0,0,0,14,14,0
"433",0,0,0,0,0,0,41,40,1
"434",0,0,0,0,0,0,37,37,0
"435",0,0,0,0,0,0,14,14,0
"436",3,2,1,0,0,0,23,22,1
"437",0,0,0,0,0,0,85,84,1
"438",0,0,0,0,0,0,1,1,0
"439",0,0,0,0,0,0,0,0,0
"440",9,9,0,4,4,0,0,0,0
"441",3,3,0,0,0,0,30,29,1
"442",3,3,0,0,0,0,11,11,0
"443",1,1,0,0,0,0,26,26,0
"444",0,0,0,0,0,0,3,3,0
"445",13,13,0,0,0,0,9,9,0
"446",0,0,0,0,0,0,11,11,0
"447",0,0,0,0,0,0,16,16,0
"448",0,0,0,0,0,0,36,36,0
"449",0,0,0,0,0,0,31,30,1
"450",0,0,0,1,1,0,30,29,1
"451",6,6,0,0,0,0,0,0,0
"452",1,1,0,0,0,0,32,31,1
"453",0,0,0,0,0,0,0,0,0
"454",0,0,0,0,0,0,28,28,0
"455",0,0,0,0,0,0,3,3,0
"456",0,0,0,0,0,0,53,51,2
"457",0,0,0,0,0,0,14,14,0
"458",2,2,0,0,0,0,1,1,0
"459",0,0,0,0,0,0,7,7,0
"460",1,1,0,0,0,0,59,58,1
"461",0,0,0,0,0,0,89,87,2
"462",0,0,0,0,0,0,12,12,0
"463",1,1,0,35,33,2,35,34,1
"464",1,1,0,0,0,0,42,42,0
"465",2,2,0,0,0,0,105,103,2
"466",0,0,0,0,0,0,0,0,0
"467",3,3,0,0,0,0,49,49,0
"468",0,0,0,0,0,0,58,58,0
"469",2,2,0,0,0,0,8,7,1
"470",0,0,0,0,0,0,6,6,0
"471",0,0,0,0,0,0,0,0,0
"472",0,0,0,0,0,0,0,0,0
"473",4,4,0,0,0,0,6,6,0
"474",0,0,0,0,0,0,45,44,1
"475",0,0,0,0,0,0,0,0,0
"476",2,2,0,0,0,0,8,8,0
"477",1,1,0,0,0,0,88,88,0
"478",1,1,0,0,0,0,0,0,0
"479",0,0,0,0,0,0,2,2,0
"480",2,2,0,0,0,0,77,75,2
"481",0,0,0,0,0,0,1,1,0
"482",0,0,0,0,0,0,5,5,0
"483",12,11,1,0,0,0,26,26,0
"484",1,1,0,0,0,0,6,6,0
"485",4,3,1,0,0,0,0,0,0
"486",0,0,0,0,0,0,16,16,0
"487",0,0,0,0,0,0,0,0,0
"488",0,0,0,0,0,0,0,0,0
"489",12,12,0,6,5,1,79,79,0
"490",2,2,0,0,0,0,4,4,0
